company_slug,company,insurance_type,product,status,path,pages,bytes,sha256,http_status,content_type,collected_at,source_url,landing_page,error
samsung-life,Samsung Life Insurance,whole,"삼성인터넷더플러스종신보험(2601)(무배당,저해약환급금형)",verified-pdf,docs/policy/samsung-life/whole/01-samsung-life-whole.pdf,152,3934541,7d57bff555081ab3572cbf5b64b78541d9623dd294d3b623ce2673c6cb613051,200,application/pdf,2026-08-03,https://pcms.samsunglife.com/uploadDir/doc/2026/0101/LP0824002/301/1768450474341.pdf,https://www.samsunglife.com/individual/products/disclosure/insurance/PDO-PRDIC010100M,
hanwha-life,Hanwha Life Insurance,whole,한화생명 e종신보험 약관,verified-pdf,docs/policy/hanwha-life/whole/02-hanwha-life-whole.pdf,207,4999932,f0550aaeff6d1c9fda712496c5a0d7660d37fcd14e3976fba3cd834a8c4adf32,200,application/pdf,2026-08-03,https://direct.hanwhalife.com/products/downloadProxy/%ED%95%9C%ED%99%94%EC%83%9D%EB%AA%85%20e%EC%A2%85%EC%8B%A0%EB%B3%B4%ED%97%98%20%EB%AC%B4%EB%B0%B0%EB%8B%B9_%EC%95%BD%EA%B4%80_20260612.pdf?docUrl=dynamic/direct/product/cms_xyeGk2s2Ehv1Mvkr_1781227324358.pdf,https://direct.hanwhalife.com/,
kyobo-life,Kyobo Life Insurance,dental,(무)교보치아보장보험(갱신형),verified-pdf,docs/policy/kyobo-life/dental/03-kyobo-life-dental.pdf,325,3483256,7751dd1866fb3cfeb67f4d909f8f394d6080872c6d1d08b74e00717cac2571c1,200,application/pdf,2026-08-03,https://www.kyobo.com/file/ajax/download?fName=/dtc/pdf/mm/MWVmNzViYjMt_1000859_%28%EB%AC%B4%29%EA%B5%90%EB%B3%B4%EC%B9%98%EC%95%84%EB%B3%B4%EC%9E%A5%EB%B3%B4%ED%97%98%28%EA%B0%B1%EC%8B%A0%ED%98%95%29_26.6.29%20%EA%B3%B5%EC%8B%9C%EC%9A%A9%20%ED%86%B5%ED%95%A9%EC%95%BD%EA%B4%80.pdf,https://www.kyobo.com/dgt/web/dtp/insurance-product-disclosure,
nh-life,NH NongHyup Life Insurance,life-rider,NH농협생명 사망보험금 유동화 특약 약관 (FILE_000000000024506),verified-pdf,docs/policy/nh-life/life-rider/04-nh-life-life-rider.pdf,8,121422,c3a70793a1efdcd0bfe1b7a4f3dc8d22d74dc90e72b40c5673949d9adc27e1ae,200,application/octet-stream;charset=UTF-8,2026-08-03,https://www.nhlife.co.kr/ho/zz/FileDwld.nhl?apdFlid=FILE_000000000024506&fileSeqn=2,https://www.nhlife.co.kr/ho/hoPrdtAnnc.nhl,
nh-life,NH NongHyup Life Insurance,whole,NH농협생명 종신보험 약관 (FILE_000000000024345),verified-pdf,docs/policy/nh-life/whole/05-nh-life-whole.pdf,464,13520303,546b3e2291b1e7c68e072f43e750f665be87beca410cbd95ffbcd959f5f173e4,200,application/octet-stream;charset=UTF-8,2026-08-03,https://www.nhlife.co.kr/ho/zz/FileDwld.nhl?apdFlid=FILE_000000000024345&fileSeqn=2,https://www.nhlife.co.kr/ho/hoPrdtAnnc.nhl,
nh-life,NH NongHyup Life Insurance,annuity,NH농협생명 연금보험 약관 (FILE_000000000024271),verified-pdf,docs/policy/nh-life/annuity/06-nh-life-annuity.pdf,120,11357469,ed5315a635ee4d41564b2e24b042f01363357613fd0f0eebaa9d6f73f09d1256,200,application/octet-stream;charset=UTF-8,2026-08-03,https://www.nhlife.co.kr/ho/zz/FileDwld.nhl?apdFlid=FILE_000000000024271&fileSeqn=2,https://www.nhlife.co.kr/ho/hoPrdtAnnc.nhl,
nh-life,NH NongHyup Life Insurance,savings,NH농협생명 저축보험 약관 (FILE_000000000023761),verified-pdf,docs/policy/nh-life/savings/07-nh-life-savings.pdf,144,11241694,03ebc42e0727ab9e062cef99106a105db490544bf0819f61ab49ad19b6e17025,200,application/octet-stream;charset=UTF-8,2026-08-03,https://www.nhlife.co.kr/ho/zz/FileDwld.nhl?apdFlid=FILE_000000000023761&fileSeqn=2,https://www.nhlife.co.kr/ho/hoPrdtAnnc.nhl,
shinhan-life,Shinhan Life Insurance,health,신한통합건강보험 주니어올터치 약관,verified-pdf,docs/policy/shinhan-life/health/08-shinhan-life-health.pdf,1060,9282617,e44f68a080a34287432930a0e6e61775e9aef788d0f29919e51607577ef8dc83,200,application/pdf,2026-08-03,https://www.shinhanlife.co.kr/bizxpress/cdh/cdhi/gd/pr/__etc/%ED%8C%90%EB%A7%A4%EC%95%BD%EA%B4%80_%EC%8B%A0%ED%95%9C%ED%86%B5%ED%95%A9%EA%B1%B4%EA%B0%95%EB%B3%B4%ED%97%98%20%EC%A3%BC%EB%8B%88%EC%96%B4%EC%98%AC%ED%84%B0%EC%B9%98%28%EB%AC%B4%EB%B0%B0%EB%8B%B9%2C%20%ED%95%B4%EC%95%BD%ED%99%98%EA%B8%89%EA%B8%88%20%EB%AF%B8%EC%A7%80%EA%B8%89%ED%98%95%29_20260701.pdf,https://www.shinhanlife.co.kr/hp/cdhb0040.do?wsId=DigitalPlattform&ndId=2ad4654ee61a41fba873&catId=M160989651064518086,
kb-life,KB Life Insurance,whole,KB국민생명 상품약관 (API archive 174600/2),verified-pdf,docs/policy/kb-life/whole/09-kb-life-whole.pdf,348,9128869,17f1c54d6b4c4b0b0aa4bd5dca09368ab5bfb72bd868f2f0178745ffabc394d3,200,application/pdf,2026-08-03,https://www.kblife.co.kr/api/archive/archives/download/product-terms/174600/2,https://www.kblife.co.kr/notice/productDisclosure,
kb-life,KB Life Insurance,health,KB Pick! e-건강보험 약관 (API archive 501587133/2),verified-pdf,docs/policy/kb-life/health/10-kb-life-health.pdf,585,5493279,4ab2ff2d2ca2d0962b55f10d929e76a9f6eccfca373324e55ad6ff86b6270417,200,application/pdf,2026-08-03,https://www.kblife.co.kr/api/archive/archives/download/product-terms/501587133/2,https://www.kblife.co.kr/notice/productDisclosure,
